Complaint ID,Date received,Product,Sub-product,Issue,Company public response,Company,State,ZIP code,Consumer consent provided?,Submitted via,Date sent to company,Timely response?,Consumer disputed?,Company response to consumer
776788,3/25/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77469,Unknown,Web,3/25/2014,Yes,No,Closed with explanation
774482,3/24/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,PNC Bank N.A.,TX,77041,Unknown,Web,3/24/2014,Yes,No,Closed with explanation
774054,3/24/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,Ditech Financial LLC,TX,78028,Unknown,Web,3/24/2014,Yes,No,Closed with explanation
773558,3/23/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,M&T BANK CORPORATION,TX,79065,Unknown,Web,3/22/2014,Yes,No,Closed with explanation
773697,3/23/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,"CITIBANK, N.A.",TX,78738,Unknown,Web,3/23/2014,Yes,No,Closed with explanation
773449,3/22/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,BBVA FINANCIAL CORPORATION,TX,75010,Unknown,Web,3/22/2014,Yes,No,Closed with monetary relief
772017,3/21/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,JPMORGAN CHASE & CO.,TX,77461,Unknown,Web,3/21/2014,Yes,No,Closed
773133,3/21/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,Ditech Financial LLC,TX,78046,Unknown,Web,3/20/2014,Yes,No,Closed with explanation
769208,3/20/2014,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,79928,Unknown,Web,3/20/2014,Yes,No,Closed with explanation
769261,3/20/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ditech Financial LLC,TX,76179,Unknown,Web,3/20/2014,Yes,No,Closed with explanation
768629,3/19/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,FIRST CONTINENTAL MORTGAGE LTD,TX,78613,Unknown,Web,3/19/2014,Yes,No,Closed with explanation
766071,3/19/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,75052,Unknown,Web,3/26/2014,Yes,No,Closed with explanation
768507,3/18/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,NATIONSTAR MORTGAGE LLC,TX,78041,Unknown,Web,4/2/2014,Yes,No,Closed with explanation
768500,3/18/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,"Seterus, Inc.",TX,75069,Unknown,Web,3/18/2014,Yes,No,Closed with explanation
760637,3/17/2014,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,78245,Unknown,Web,3/17/2014,Yes,No,Closed with explanation
763520,3/17/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,77407,Unknown,Web,3/17/2014,Yes,No,Closed with explanation
768191,3/17/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,76063,Unknown,Web,3/17/2014,Yes,Yes,Closed with explanation
767932,3/14/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,"Real Time Group, Inc.",TX,79707,Unknown,Phone,3/19/2014,Yes,Yes,Closed with explanation
753185,3/12/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,NATIONSTAR MORTGAGE LLC,TX,78640,Unknown,Web,3/12/2014,Yes,No,Closed with explanation
757706,3/12/2014,Mortgage,FHA mortgage,Credit decision / Underwriting,No,NATIONSTAR MORTGAGE LLC,TX,75060,Unknown,Web,3/13/2014,Yes,No,Closed with explanation
767188,3/12/2014,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,No,Ocwen Financial Corporation,TX,76133,Unknown,Web,3/12/2014,Yes,Yes,Closed with explanation
755981,3/12/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,76040,Unknown,Web,3/12/2014,Yes,No,Closed with explanation
755702,3/11/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77058,Unknown,Web,3/12/2014,Yes,Yes,Closed with explanation
755785,3/11/2014,Mortgage,Conventional fixed mortgage,Settlement process and costs,No,JPMORGAN CHASE & CO.,TX,78254,Unknown,Web,3/13/2014,Yes,No,Closed with explanation
755725,3/11/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,75104,Unknown,Web,3/12/2014,Yes,No,Closed with explanation
755650,3/11/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,JPMORGAN CHASE & CO.,TX,75217,Unknown,Phone,3/13/2014,Yes,No,Closed with explanation
752218,3/10/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,BB&T CORPORATION,TX,75238,Unknown,Web,3/10/2014,Yes,No,Closed with explanation
751296,3/10/2014,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",No,WELLS FARGO & COMPANY,TX,78148,Unknown,Web,3/10/2014,Yes,No,Closed with monetary relief
759341,3/10/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,JPMORGAN CHASE & CO.,TX,78256,Unknown,Web,3/11/2014,Yes,No,Closed with explanation
759392,3/10/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,U.S. BANCORP,TX,75051,Unknown,Web,3/10/2014,Yes,Yes,Closed with explanation
748932,3/7/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,78261,Unknown,Web,3/6/2014,Yes,No,Closed with explanation
748978,3/7/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,79407,Unknown,Web,3/6/2014,Yes,No,Closed with explanation
749741,3/7/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,75087,Unknown,Web,3/10/2014,Yes,No,Closed with explanation
748040,3/6/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,77573,Unknown,Web,3/6/2014,Yes,Yes,Closed with explanation
745943,3/6/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,"CITIBANK, N.A.",TX,76034,Unknown,Web,3/6/2014,Yes,No,Closed with explanation
747613,3/6/2014,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",No,WELLS FARGO & COMPANY,TX,76513,Unknown,Web,3/6/2014,Yes,No,Closed with explanation
743606,3/5/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,JPMORGAN CHASE & CO.,TX,76262,Unknown,Web,3/5/2014,Yes,No,Closed with explanation
744089,3/5/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,JPMORGAN CHASE & CO.,TX,77006,Unknown,Web,3/6/2014,Yes,Yes,Closed with monetary relief
741421,3/4/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,77459,Unknown,Web,3/3/2014,Yes,No,Closed with explanation
741450,3/4/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,77068,Unknown,Web,3/4/2014,Yes,No,Closed with explanation
741688,3/4/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,77399,Unknown,Web,3/3/2014,Yes,Yes,Closed with explanation
741724,3/4/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,"Gitsit Solutions, LLC.",TX,76549,Unknown,Web,3/3/2014,Yes,No,Closed with explanation
743158,3/4/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,WELLS FARGO & COMPANY,TX,77062,Unknown,Phone,3/6/2014,Yes,No,Closed with non-monetary relief
741324,3/3/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,75024,Unknown,Web,3/11/2014,Yes,Yes,Closed with explanation
740140,3/3/2014,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",No,JPMORGAN CHASE & CO.,TX,77027,Unknown,Web,3/3/2014,Yes,No,Closed with explanation
740759,3/3/2014,Mortgage,Conventional fixed mortgage,Settlement process and costs,No,Ditech Financial LLC,TX,78734,Unknown,Web,3/3/2014,Yes,No,Closed with explanation
736944,3/1/2014,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",No,"PLAZA HOME MORTGAGE, INC.",TX,75087,Unknown,Web,3/14/2014,Yes,No,Closed with explanation
737251,2/28/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,U.S. BANCORP,TX,75056,Unknown,Web,2/28/2014,Yes,No,Closed with explanation
737562,2/28/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,WELLS FARGO & COMPANY,TX,77356,Unknown,Web,2/28/2014,Yes,No,Closed with explanation
738006,2/28/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77573,Unknown,Web,2/28/2014,Yes,Yes,Closed with explanation
735464,2/27/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,NATIONSTAR MORTGAGE LLC,TX,75495,Unknown,Web,2/27/2014,Yes,No,Closed with explanation
734491,2/27/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,75056,Unknown,Web,2/28/2014,Yes,No,Closed with explanation
734571,2/27/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,75087,Unknown,Web,2/26/2014,Yes,Yes,Closed with explanation
734360,2/27/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,JAMES B. NUTTER & COMPANY,TX,77449,Unknown,Web,2/27/2014,Yes,No,Closed with explanation
735250,2/27/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,78258,Unknown,Web,2/27/2014,Yes,Yes,Closed with explanation
732139,2/26/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,78245,Unknown,Web,3/1/2014,Yes,No,Closed with explanation
733006,2/26/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,78681,Unknown,Phone,2/27/2014,Yes,Yes,Closed with explanation
732832,2/26/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,SN SERVICING CORPORATION,TX,76002,Unknown,Web,2/27/2014,Yes,No,Closed with explanation
730784,2/25/2014,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,75034,Unknown,Web,2/25/2014,Yes,Yes,Closed with explanation
729871,2/25/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77581,Unknown,Phone,2/27/2014,Yes,No,Closed with explanation
730342,2/25/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,75104,Unknown,Referral,2/25/2014,Yes,Yes,Closed with explanation
730785,2/25/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,78253,Unknown,Phone,2/26/2014,Yes,No,Closed with explanation
729238,2/24/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,NATIONSTAR MORTGAGE LLC,TX,75054,Unknown,Web,2/24/2014,Yes,No,Closed with explanation
729692,2/24/2014,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",No,JPMORGAN CHASE & CO.,TX,78261,Unknown,Web,3/10/2014,Yes,No,Closed with explanation
724796,2/23/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",No,"Caliber Home Loans, Inc.",TX,78250,Unknown,Web,2/22/2014,Yes,Yes,Closed with explanation
724620,2/22/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,76179,Unknown,Fax,2/24/2014,Yes,Yes,Closed with explanation
726383,2/21/2014,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",No,WESTSTAR MORTGAGE CORPORATION,TX,75423,Unknown,Web,2/28/2014,Yes,Yes,Closed with explanation
725542,2/21/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,75093,Unknown,Web,2/21/2014,Yes,Yes,Closed with explanation
722142,2/20/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,76108,Unknown,Web,2/24/2014,Yes,No,Closed with non-monetary relief
721417,2/19/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,78258,Unknown,Web,2/19/2014,Yes,No,Closed with explanation
721627,2/19/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,JPMORGAN CHASE & CO.,TX,78704,Unknown,Phone,2/21/2014,Yes,No,Closed with explanation
720152,2/19/2014,Mortgage,VA mortgage,Settlement process and costs,No,WELLS FARGO & COMPANY,TX,79416,Unknown,Web,2/18/2014,Yes,No,Closed with explanation
721227,2/19/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,PHH Mortgage Services Corporation,TX,75243,Unknown,Web,2/19/2014,Yes,No,Closed with non-monetary relief
718434,2/18/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,NATIONSTAR MORTGAGE LLC,TX,77346,Unknown,Web,2/18/2014,Yes,No,Closed with explanation
718873,2/18/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,JPMORGAN CHASE & CO.,TX,77545,Unknown,Web,2/24/2014,Yes,No,Closed with explanation
718404,2/18/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,Selene Finance LP,TX,77584,Unknown,Web,2/18/2014,Yes,Yes,Closed with explanation
717640,2/18/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ditech Financial LLC,TX,75238,Unknown,Web,2/17/2014,Yes,No,Closed with explanation
718056,2/18/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,77098,Unknown,Web,2/18/2014,Yes,No,Closed with monetary relief
718830,2/18/2014,Mortgage,VA mortgage,"Application, originator, mortgage broker",No,WELLS FARGO & COMPANY,TX,78240,Unknown,Web,2/18/2014,Yes,No,Closed with monetary relief
718592,2/18/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,Ditech Financial LLC,TX,76108,Unknown,Phone,2/20/2014,Yes,Yes,Closed with explanation
719657,2/18/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,76020,Unknown,Web,2/20/2014,Yes,No,Closed with non-monetary relief
718478,2/18/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,"VANDERBILT MORTGAGE & FINANCE, INC",TX,77535,Unknown,Phone,2/20/2014,Yes,No,Closed with explanation
718181,2/18/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,77489,Unknown,Web,2/20/2014,Yes,No,Closed with monetary relief
714068,2/17/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",No,NATIONSTAR MORTGAGE LLC,TX,76259,Unknown,Web,2/16/2014,Yes,No,Closed with explanation
716277,2/17/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,79707,Unknown,Web,2/17/2014,Yes,Yes,Closed with explanation
716557,2/17/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,75093,Unknown,Web,2/17/2014,Yes,No,Closed with explanation
715052,2/14/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,76001,Unknown,Phone,2/19/2014,Yes,No,Closed with explanation
714964,2/14/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",No,HSBC NORTH AMERICA HOLDINGS INC.,TX,78250,Unknown,Web,2/14/2014,Yes,No,Closed with explanation
714548,2/14/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,WELLS FARGO & COMPANY,TX,77346,Unknown,Web,2/13/2014,Yes,Yes,Closed with explanation
716736,2/14/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,Ditech Financial LLC,TX,76548,Unknown,Phone,2/20/2014,Yes,No,Closed with explanation
714680,2/14/2014,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",No,"PLAZA HOME MORTGAGE, INC.",TX,77546,Unknown,Web,2/14/2014,Yes,No,Closed with explanation
715481,2/14/2014,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",No,U.S. BANCORP,TX,77022,Unknown,Phone,2/19/2014,Yes,No,Closed with monetary relief
715347,2/14/2014,Mortgage,Conventional fixed mortgage,Settlement process and costs,No,"SELECT PORTFOLIO SERVICING, INC.",TX,77051,Unknown,Web,2/14/2014,Yes,No,Closed with explanation
712230,2/13/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,75034,Unknown,Web,2/13/2014,Yes,No,Closed with explanation
713568,2/13/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,78209,Unknown,Web,2/21/2014,Yes,No,Closed with explanation
712082,2/13/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,JPMORGAN CHASE & CO.,TX,77546,Unknown,Web,2/12/2014,Yes,Yes,Closed with explanation
713539,2/13/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,PNC Bank N.A.,TX,77083,Unknown,Web,2/13/2014,Yes,No,Closed
713898,2/12/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,NATIONSTAR MORTGAGE LLC,TX,75156,Unknown,Web,2/12/2014,Yes,No,Closed with explanation
714329,2/12/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,Ditech Financial LLC,TX,78163,Unknown,Web,2/12/2014,Yes,No,Closed with explanation
731991,2/12/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,77015,Unknown,Web,2/12/2014,Yes,No,Closed with explanation
711869,2/12/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",No,"Residential Credit Solutions, Inc.",TX,77375,Unknown,Web,2/12/2014,Yes,Yes,Closed with explanation
717347,2/12/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,75104,Unknown,Web,2/12/2014,Yes,No,Closed with explanation
706222,2/10/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,"CITIZENS FINANCIAL GROUP, INC.",TX,75035,Unknown,Web,2/10/2014,Yes,No,Closed with explanation
706874,2/10/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,75019,Unknown,Phone,2/11/2014,Yes,Yes,Closed with explanation
705786,2/10/2014,Mortgage,Conventional fixed mortgage,Settlement process and costs,No,PNC Bank N.A.,TX,77479,Unknown,Phone,2/11/2014,Yes,No,Closed with explanation
707051,2/10/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,WELLS FARGO & COMPANY,TX,77019,Unknown,Web,2/13/2014,Yes,No,Closed with explanation
704964,2/9/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",No,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,75104,Unknown,Web,2/9/2014,Yes,No,Closed with explanation
704855,2/9/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",No,Ocwen Financial Corporation,TX,76513,Unknown,Web,2/8/2014,Yes,No,Closed with explanation
